Date,Product,Category,Production_Units,Sales_Units,Price_Per_Unit,Revenue,Defective_Units,Employee_Count,Quality_Score,Unsold_Units,Sales_Percentage,Defect_Rate
2026-01-01,Dark Chocolate,Chocolate Bar,1200,1080,80,86400,24,32,92,120,90.0,2.0
2026-01-05,Milk Chocolate,Chocolate Bar,1500,1390,60,83400,30,36,94,110,92.67,2.0
2026-01-10,White Chocolate,Chocolate Bar,1000,875,70,61250,18,29,93,125,87.5,1.8
2026-01-15,Hazelnut Bar,Premium Bar,1100,980,95,93100,16,30,96,120,89.09,1.45
2026-01-20,Chocolate Box,Gift Box,700,640,250,160000,12,24,97,60,91.43,1.71
2026-02-01,Dark Chocolate,Chocolate Bar,1350,1240,80,99200,22,33,93,110,91.85,1.63
2026-02-05,Milk Chocolate,Chocolate Bar,1580,1470,60,88200,27,37,94,110,93.04,1.71
2026-02-10,White Chocolate,Chocolate Bar,1050,930,70,65100,20,30,92,120,88.57,1.9
2026-02-15,Hazelnut Bar,Premium Bar,1180,1060,95,100700,15,31,96,120,89.83,1.27
2026-02-20,Chocolate Box,Gift Box,760,700,250,175000,11,25,97,60,92.11,1.45
2026-03-01,Dark Chocolate,Chocolate Bar,1480,1370,80,109600,21,34,94,110,92.57,1.42
2026-03-05,Milk Chocolate,Chocolate Bar,1660,1550,60,93000,26,38,95,110,93.37,1.57
2026-03-10,White Chocolate,Chocolate Bar,1120,995,70,69650,17,30,93,125,88.84,1.52
2026-03-15,Hazelnut Bar,Premium Bar,1250,1135,95,107825,14,32,97,115,90.8,1.12
2026-03-20,Chocolate Box,Gift Box,820,755,250,188750,10,26,98,65,92.07,1.22
2026-04-01,Dark Chocolate,Chocolate Bar,1550,1450,80,116000,19,35,94,100,93.55,1.23
2026-04-05,Milk Chocolate,Chocolate Bar,1740,1635,60,98100,24,39,95,105,93.97,1.38
2026-04-10,White Chocolate,Chocolate Bar,1180,1060,70,74200,16,31,94,120,89.83,1.36
2026-04-15,Hazelnut Bar,Premium Bar,1320,1200,95,114000,13,33,97,120,90.91,0.98
2026-04-20,Chocolate Box,Gift Box,880,815,250,203750,9,27,98,65,92.61,1.02
2026-05-01,Dark Chocolate,Chocolate Bar,1620,1515,80,121200,18,36,95,105,93.52,1.11
2026-05-05,Milk Chocolate,Chocolate Bar,1810,1700,60,102000,22,40,95,110,93.92,1.22
2026-05-10,White Chocolate,Chocolate Bar,1240,1125,70,78750,15,32,94,115,90.73,1.21
2026-05-15,Hazelnut Bar,Premium Bar,1390,1275,95,121125,12,34,98,115,91.73,0.86
2026-05-20,Chocolate Box,Gift Box,940,870,250,217500,8,28,98,70,92.55,0.85
2026-06-01,Dark Chocolate,Chocolate Bar,1700,1595,80,127600,17,37,95,105,93.82,1.0
2026-06-05,Milk Chocolate,Chocolate Bar,1880,1770,60,106200,20,41,96,110,94.15,1.06
2026-06-10,White Chocolate,Chocolate Bar,1300,1190,70,83300,14,33,95,110,91.54,1.08
2026-06-15,Hazelnut Bar,Premium Bar,1460,1350,95,128250,11,35,98,110,92.47,0.75
2026-06-20,Chocolate Box,Gift Box,1000,930,250,232500,7,29,99,70,93.0,0.7
